Barrel 1,data//objects//Wooden Barrel//barrel.fbx,10.000000,2.000000,10.000000,0.000000,0.000000,0.000000,1.000000,0.100000
Barrel 2,data//objects//Wooden Barrel//barrel.fbx,14.000000,2.000000,10.000000,0.000000,0.000000,0.000000,1.000000,0.100000
Barrel 3,data//objects//Wooden Barrel//barrel.fbx,14.000000,2.000000,16.000000,0.000000,0.000000,0.000000,1.000000,0.100000
Barrel 4,data//objects//Wooden Barrel//barrel.fbx,10.000000,2.000000,16.000000,0.000000,0.000000,0.000000,1.000000,0.100000
Barrel 5,data//objects//Wooden Barrel//barrel.fbx,14.000000,6.000000,16.000000,0.000000,0.000000,0.000000,1.000000,0.100000
Man (Nanosuit),data//objects//nanosuit//nanosuit.obj,12.500000,4.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.600000
Viking Ship,data//objects//boat//Row_Boat.fbx,12.000000,1.500000,18.000000,0.000000,-0.710000,0.000000,0.704202,0.100000
Woman,data//objects//woman//woman.fbx,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000
Boat,data//objects//obj_boat//boat.fbx,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000
Rock,data//objects//rock//rock.fbx,77.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000
Wall 1,data//objects//wall//wall.fbx,0.000000,30.000000,80.000000,0.000000,0.000000,0.000000,1.000000,30.000000
Wall 2,data//objects//wall//wall.fbx,0.000000,30.000000,-80.000000,0.000000,0.000000,0.000000,1.000000,30.000000
Wall 3,data//objects//wall//wall.fbx,80.000000,30.000000,0.000000,0.000000,0.710000,0.000000,0.704202,30.000000
Wall 4,data//objects//wall//wall.fbx,-80.000000,30.000000,0.000000,0.000000,0.710000,0.000000,0.704202,30.000000
Water,data//objects//water//water.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,40.000000
